Id_cliente,fecha_efectiva,Id_tx,clase,valor
136,2021-03-03,6869,COMPRA,3495240.0
116,2020-11-29,4355,COMPRA,475800.0
116,2020-11-29,4355,COMPRA,350503.62
124,2021-01-20,4355,COMPRA,475800.0
124,2021-01-20,4355,COMPRA,350503.62
119,2020-09-29,5416,COMPRA,115775.0
121,2021-02-22,3249,COMPRA,1579898.0
121,2021-02-22,3249,COMPRA,53408.0
121,2021-02-22,3249,COMPRA,387390.0
142,2020-12-01,3249,COMPRA,1579898.0
142,2020-12-01,3249,COMPRA,53408.0
142,2020-12-01,3249,COMPRA,387390.0
135,2020-09-28,3249,COMPRA,1579898.0
135,2020-09-28,3249,COMPRA,53408.0
135,2020-09-28,3249,COMPRA,387390.0
152,2020-09-30,2774,COMPRA,84077.0
109,2020-12-03,3469,AVANCE,800000.0
108,2021-03-05,8161,AVANCE,350000.0
102,2020-10-01,4317,COMPRA,25000.0
102,2020-10-01,4317,COMPRA,1719600.0
117,2021-03-01,4317,COMPRA,25000.0
117,2021-03-01,4317,COMPRA,1719600.0
133,2020-10-11,7667,AVANCE,800000.0
131,2020-12-05,9637,COMPRA,690.94
131,2020-12-05,9637,COMPRA,43769.0
134,2020-09-18,9637,COMPRA,690.94
134,2020-09-18,9637,COMPRA,43769.0
116,2021-03-05,4966,COMPRA,50000.0
132,2021-01-27,4581,COMPRA,1199250.0
117,2020-09-15,5013,AVANCE,330000.0
115,2021-03-04,4476,COMPRA,54301.0
115,2021-03-04,4476,AVANCE,400000.0
131,2020-12-04,4476,COMPRA,54301.0
131,2020-12-04,4476,AVANCE,400000.0
115,2021-03-06,4016,AVANCE,800000.0
130,2021-03-05,9264,AVANCE,10000.0
135,2020-11-14,7328,COMPRA,80350.0
135,2020-11-14,7328,COMPRA,127963.0
145,2020-11-25,7328,COMPRA,80350.0
145,2020-11-25,7328,COMPRA,127963.0
139,2021-01-29,8476,COMPRA,21260.0
139,2021-01-29,8476,COMPRA,47980.0
108,2021-03-02,8476,COMPRA,21260.0
108,2021-03-02,8476,COMPRA,47980.0
116,2021-02-09,3175,COMPRA,84290.0
116,2021-03-05,5777,AVANCE,700000.0
107,2020-09-30,6918,COMPRA,1023544.0
119,2021-03-06,7905,COMPRA,1949900.0
118,2021-01-06,6806,COMPRA,765411.0
130,2021-03-02,9227,AVANCE,500000.0
119,2020-12-06,6548,COMPRA,19540.0
132,2020-12-08,2970,COMPRA,70700.0
132,2020-12-08,2970,AVANCE,220000.0
119,2020-11-12,2970,COMPRA,70700.0
119,2020-11-12,2970,AVANCE,220000.0
